image_name,category,manual_count,manual_share,manual_breakage
003232584a062b07.jpg,bebidas,5,0.4522,0.0
003232584a062b07.jpg,lacteos,0,0.0000,1.0
003232584a062b07.jpg,snacks,0,0.0000,1.0
003232584a062b07.jpg,cereales,0,0.0000,1.0
003232584a062b07.jpg,limpieza,0,0.0000,1.0
003232584a062b07.jpg,enlatados,3,0.2198,0.0
003232584a062b07.jpg,aceites,0,0.0000,1.0
003232584a062b07.jpg,higiene,0,0.0000,1.0
003232584a062b07.jpg,confiteria,0,0.0000,1.0
01f92a05010cabe0.jpg,bebidas,0,0.0000,1.0
01f92a05010cabe0.jpg,lacteos,0,0.0000,1.0
01f92a05010cabe0.jpg,snacks,1,0.2625,0.0
01f92a05010cabe0.jpg,cereales,0,0.0000,1.0
01f92a05010cabe0.jpg,limpieza,0,0.0000,1.0
01f92a05010cabe0.jpg,enlatados,0,0.0000,1.0
01f92a05010cabe0.jpg,aceites,0,0.0000,1.0
01f92a05010cabe0.jpg,higiene,0,0.0000,1.0
01f92a05010cabe0.jpg,confiteria,0,0.0000,1.0
0226ce80c72feb67.jpg,bebidas,3,0.4787,0.0
0226ce80c72feb67.jpg,lacteos,0,0.0000,1.0
0226ce80c72feb67.jpg,snacks,0,0.0000,1.0
0226ce80c72feb67.jpg,cereales,0,0.0000,1.0
0226ce80c72feb67.jpg,limpieza,0,0.0000,1.0
0226ce80c72feb67.jpg,enlatados,0,0.0000,1.0
0226ce80c72feb67.jpg,aceites,0,0.0000,1.0
0226ce80c72feb67.jpg,higiene,0,0.0000,1.0
0226ce80c72feb67.jpg,confiteria,0,0.0000,1.0
027023f1e05fa0fc.jpg,bebidas,0,0.0000,1.0
027023f1e05fa0fc.jpg,lacteos,0,0.0000,1.0
027023f1e05fa0fc.jpg,snacks,0,0.0000,1.0
027023f1e05fa0fc.jpg,cereales,0,0.0000,1.0
027023f1e05fa0fc.jpg,limpieza,0,0.0000,1.0
027023f1e05fa0fc.jpg,enlatados,0,0.0000,1.0
027023f1e05fa0fc.jpg,aceites,0,0.0000,1.0
027023f1e05fa0fc.jpg,higiene,0,0.0000,1.0
027023f1e05fa0fc.jpg,confiteria,1,0.5810,0.0
02deba0102b5ce2a.jpg,bebidas,2,0.3514,0.0
02deba0102b5ce2a.jpg,lacteos,0,0.0000,1.0
02deba0102b5ce2a.jpg,snacks,0,0.0000,1.0
02deba0102b5ce2a.jpg,cereales,0,0.0000,1.0
02deba0102b5ce2a.jpg,limpieza,0,0.0000,1.0
02deba0102b5ce2a.jpg,enlatados,0,0.0000,1.0
02deba0102b5ce2a.jpg,aceites,0,0.0000,1.0
02deba0102b5ce2a.jpg,higiene,0,0.0000,1.0
02deba0102b5ce2a.jpg,confiteria,0,0.0000,1.0
03868cb89ff15f9d.jpg,bebidas,3,0.1728,0.0
03868cb89ff15f9d.jpg,lacteos,0,0.0000,1.0
03868cb89ff15f9d.jpg,snacks,0,0.0000,1.0
03868cb89ff15f9d.jpg,cereales,0,0.0000,1.0
03868cb89ff15f9d.jpg,limpieza,0,0.0000,1.0
03868cb89ff15f9d.jpg,enlatados,0,0.0000,1.0
03868cb89ff15f9d.jpg,aceites,0,0.0000,1.0
03868cb89ff15f9d.jpg,higiene,0,0.0000,1.0
03868cb89ff15f9d.jpg,confiteria,0,0.0000,1.0
03abc39ad2c14097.jpg,bebidas,4,1.3869,0.0
03abc39ad2c14097.jpg,lacteos,0,0.0000,1.0
03abc39ad2c14097.jpg,snacks,0,0.0000,1.0
03abc39ad2c14097.jpg,cereales,0,0.0000,1.0
03abc39ad2c14097.jpg,limpieza,0,0.0000,1.0
03abc39ad2c14097.jpg,enlatados,0,0.0000,1.0
03abc39ad2c14097.jpg,aceites,0,0.0000,1.0
03abc39ad2c14097.jpg,higiene,0,0.0000,1.0
03abc39ad2c14097.jpg,confiteria,0,0.0000,1.0
05ec955b6ace97b9.jpg,bebidas,1,0.3735,0.0
05ec955b6ace97b9.jpg,lacteos,0,0.0000,1.0
05ec955b6ace97b9.jpg,snacks,0,0.0000,1.0
05ec955b6ace97b9.jpg,cereales,0,0.0000,1.0
05ec955b6ace97b9.jpg,limpieza,0,0.0000,1.0
05ec955b6ace97b9.jpg,enlatados,0,0.0000,1.0
05ec955b6ace97b9.jpg,aceites,0,0.0000,1.0
05ec955b6ace97b9.jpg,higiene,0,0.0000,1.0
05ec955b6ace97b9.jpg,confiteria,0,0.0000,1.0
061a9184977eb612.jpg,bebidas,1,0.1888,0.0
061a9184977eb612.jpg,lacteos,0,0.0000,1.0
061a9184977eb612.jpg,snacks,0,0.0000,1.0
061a9184977eb612.jpg,cereales,0,0.0000,1.0
061a9184977eb612.jpg,limpieza,0,0.0000,1.0
061a9184977eb612.jpg,enlatados,0,0.0000,1.0
061a9184977eb612.jpg,aceites,0,0.0000,1.0
061a9184977eb612.jpg,higiene,0,0.0000,1.0
061a9184977eb612.jpg,confiteria,0,0.0000,1.0
073656ee0dc47e82.jpg,bebidas,1,0.0114,0.0
073656ee0dc47e82.jpg,lacteos,0,0.0000,1.0
073656ee0dc47e82.jpg,snacks,0,0.0000,1.0
073656ee0dc47e82.jpg,cereales,0,0.0000,1.0
073656ee0dc47e82.jpg,limpieza,0,0.0000,1.0
073656ee0dc47e82.jpg,enlatados,0,0.0000,1.0
073656ee0dc47e82.jpg,aceites,0,0.0000,1.0
073656ee0dc47e82.jpg,higiene,0,0.0000,1.0
073656ee0dc47e82.jpg,confiteria,0,0.0000,1.0
0798321a39c00de9.jpg,bebidas,0,0.0000,1.0
0798321a39c00de9.jpg,lacteos,1,0.1892,0.0
0798321a39c00de9.jpg,snacks,0,0.0000,1.0
0798321a39c00de9.jpg,cereales,0,0.0000,1.0
0798321a39c00de9.jpg,limpieza,0,0.0000,1.0
0798321a39c00de9.jpg,enlatados,0,0.0000,1.0
0798321a39c00de9.jpg,aceites,0,0.0000,1.0
0798321a39c00de9.jpg,higiene,0,0.0000,1.0
0798321a39c00de9.jpg,confiteria,0,0.0000,1.0
0804e479f3848a5a.jpg,bebidas,1,0.4999,0.0
0804e479f3848a5a.jpg,lacteos,0,0.0000,1.0
0804e479f3848a5a.jpg,snacks,0,0.0000,1.0
0804e479f3848a5a.jpg,cereales,0,0.0000,1.0
0804e479f3848a5a.jpg,limpieza,0,0.0000,1.0
0804e479f3848a5a.jpg,enlatados,1,0.5053,0.0
0804e479f3848a5a.jpg,aceites,0,0.0000,1.0
0804e479f3848a5a.jpg,higiene,0,0.0000,1.0
0804e479f3848a5a.jpg,confiteria,0,0.0000,1.0
